consensus_tree_id,normalized_id,Plot,DBH,source,variant_1,variant_2,name_in_datasheets,name_in_trees_dbh,name_in_labels,name_in_flux_temp,name_in_flux_dimensions,name_in_soil_data,name_in_ddpcr_data,name_variants
YB13,yb13,Lowland,22.5,datasheets,YB13,NA,YB13,YB13,YB13,YB13,YB13,YB13,YB13,7
YB14,yb14,Lowland,20.5,datasheets,YB14,NA,YB14,YB14,YB14,YB14,YB14,YB14,YB14,7
YB15,yb15,Lowland,23.5,datasheets,YB15,NA,YB15,YB15,YB15,YB15,YB15,YB15,YB15,7
YB16,yb16,Lowland,22,trees_dbh,YB16,NA,NA,YB16,YB16,NA,NA,NA,NA,2
YB2,yb2,Lowland,27,datasheets,YB2,NA,YB2,YB2,YB2,YB2,YB2,YB2,YB2,7
YB3,yb3,Lowland,28,trees_dbh,YB3,NA,YB3,YB3,YB3,YB3,YB3,YB3,YB3,7
YB4,yb4,Lowland,31,datasheets,YB4,NA,YB4,YB4,YB4,YB4,YB4,YB4,YB4,7
YB5,yb5,Lowland,31,trees_dbh,YB5,NA,YB5,YB5,YB5,YB5,YB5,YB5,YB5,7
YB6,yb6,Lowland,20,trees_dbh,YB6,NA,NA,YB6,YB6,NA,NA,NA,NA,2
YB7,yb7,Lowland,22.5,trees_dbh,YB7,NA,NA,YB7,YB7,NA,NA,NA,NA,2
YB8,yb8,Lowland,25.5,trees_dbh,YB8,NA,NA,YB8,YB8,NA,NA,NA,NA,2
YB9,yb9,Lowland,25,datasheets,YB9,NA,YB9,YB9,YB9,YB9,YB9,YB9,YB9,7
AB10,ab10,Ridge,20,trees_dbh,AB10,NA,AB10,AB10,AB10,AB10,AB10,AB10,AB10,7
AB11,ab11,Ridge,25,datasheets,AB11,NA,AB11,AB11,AB11,AB11,AB11,AB11,AB11,7
AB9,ab9,Ridge,20,datasheets,AB9,NA,AB9,AB9,AB9,AB9,AB9,AB9,AB9,7
BB10,bb10,Ridge,28.5,trees_dbh,BB10,NA,BB10,BB10,BB10,BB10,BB10,BB10,BB10,7
BB10',bb10',Ridge,29,trees_dbh,BB10',BB10prime,BB10prime,BB10',BB10',BB10prime,BB10prime,BB10',BB10',7
BB11,bb11,Ridge,31.5,trees_dbh,BB11,NA,BB11,BB11,BB11,BB11,BB11,BB11,BB11,7
BB12,bb12,Ridge,26.5,trees_dbh,BB12,NA,BB12,BB12,BB12,BB12,BB12,BB12,BB12,7
BB13,bb13,Ridge,31,trees_dbh,BB13,NA,BB13,BB13,BB13,BB13,BB13,BB13,BB13,7
BB14,bb14,Ridge,24.5,trees_dbh,BB14,NA,BB14,BB14,BB14,BB14,BB14,BB14,BB14,7
BB16,bb16,Ridge,33.5,trees_dbh,BB16,NA,BB16,BB16,BB16,BB16,BB16,BB16,BB16,7
BB16',bb16',Ridge,25,trees_dbh,BB16',BB16prime,BB16prime,BB16',BB16',BB16prime,BB16prime,BB16',BB16',7
BB5,bb5,Ridge,31.5,trees_dbh,BB5,NA,BB5,BB5,BB5,BB5,BB5,BB5,BB5,7
BB6,bb6,Ridge,29.5,trees_dbh,BB6,NA,BB6,BB6,BB6,BB6,BB6,BB6,BB6,7
