"tree_id","species","x","y","dbh_m","BasalArea_m2","mean_flux_nmol","mean_flux_mg","mean_moisture"
1816,"PIST",-72.1287049698687,41.9894950806334,0.049,0.00188574099031727,0.0282226019268261,0.0390149249036444,18.399005999489
1817,"PIST",-72.1286956474512,41.9894929454699,0.05,0.00196349540849362,0.0281638568726647,0.0389337157407717,18.853778930509
1818,"TSCA",-72.1300596751071,41.9902324338061,0.297,0.0692791865951255,0.0341882909085277,0.0472618933519488,27.7278143718873
1819,"PIST",-72.1287060874464,41.9894696575438,0.068,0.0036316811075498,0.0282226019268261,0.0390149249036444,18.263054035616
1820,"PIST",-72.1287042701987,41.9895032077155,0.054,0.00229022104446696,0.0282226019268261,0.0390149249036444,18.399005999489
1822,"PIST",-72.1287072790154,41.9894698137323,0.083,0.00541060794764502,0.0282226019268261,0.0390149249036444,18.263054035616
1823,"PIST",-72.1286987302607,41.9894851307651,0.055,0.00237582944427728,0.0281638568726647,0.0389337157407717,18.853778930509
1824,"PIST",-72.1286867594871,41.9895821871832,0.071,0.00395919214168654,0.0281907396537201,0.0389708784973027,19.3975867859071
1825,"PIST",-72.1287016721888,41.9894727315975,0.085,0.00567450173054656,0.0282226019268261,0.0390149249036444,18.263054035616
1826,"QURU",-72.1286907426576,41.9895032609504,0.637,0.318690227363619,0.0281638568726647,0.0389337157407717,18.853778930509
1827,"BELE",-72.1299433917171,41.9902254119092,0.246,0.04752915525616,0.0291477115646588,0.0402937964669844,21.7656396444113
1828,"TSCA",-72.1302918272364,41.990279297959,0.178,0.0248845554090848,0.0331238483538489,0.0457904079643607,26.239367528597
1829,"ACSA",-72.130202104309,41.9902483615142,0.242,0.0459960580412082,0.0371187390641618,0.0513129448822973,31.2750643677193
1830,"ACRU",-72.1303020566587,41.990256895546,0.354,0.0984229562443146,0.0323214540808469,0.0446811781213628,25.7817557470944
1831,"BEAL",-72.1302343709549,41.9903868303439,0.226,0.0401149965936881,0.0379118442346103,0.0524093334699253,32.7264536156802
1832,"TSCA",-72.1301861324917,41.9903001467905,0.483,0.183224752140827,0.0394957496855025,0.0545989243652387,33.8963883184316
1833,"TSCA",-72.130031295225,41.9902743740503,0.463,0.168365018889348,0.0342834836502766,0.0473934877981424,27.6268618691401
