"pathway","p","t","FDR","description","gene","compartment"
"PWY-7234",NA,NA,NA,"inosine-5'-phosphate biosynthesis III","pmoA","Heartwood"
"PWY-7237",NA,NA,NA,"myo-, chiro- and scillo-inositol degradation","pmoA","Heartwood"
"PWY-7242",NA,NA,NA,"D-fructuronate degradation","pmoA","Heartwood"
"PWY-7254",NA,NA,NA,"TCA cycle VII (acetate-producers)","pmoA","Heartwood"
"PWY-7255",NA,NA,NA,"ergothioneine biosynthesis I (bacteria)","pmoA","Heartwood"
"PWY-7295",NA,NA,NA,"L-arabinose degradation IV","pmoA","Heartwood"
"PWY-7315",NA,NA,NA,"dTDP-N-acetylthomosamine biosynthesis","pmoA","Heartwood"
"PWY-7323",NA,NA,NA,"superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","pmoA","Heartwood"
"PWY-7328",NA,NA,NA,"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","pmoA","Heartwood"
"PWY-7332",NA,NA,NA,"superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis","pmoA","Heartwood"
"PWY-7347",NA,NA,NA,"sucrose biosynthesis III","pmoA","Heartwood"
"PWY-7371",NA,NA,NA,"1,4-dihydroxy-6-naphthoate biosynthesis II","pmoA","Heartwood"
"PWY-7374",NA,NA,NA,"1,4-dihydroxy-6-naphthoate biosynthesis I","pmoA","Heartwood"
"PWY-7376",NA,NA,NA,"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)","pmoA","Heartwood"
"PWY-7392",NA,NA,NA,"taxadiene biosynthesis (engineered)","pmoA","Heartwood"
"PWY-7400",NA,NA,NA,"L-arginine biosynthesis IV (archaebacteria)","pmoA","Heartwood"
"PWY-7431",NA,NA,NA,"aromatic biogenic amine degradation (bacteria)","pmoA","Heartwood"
"PWY-7446",NA,NA,NA,"sulfoglycolysis","pmoA","Heartwood"
"PWY-7539",NA,NA,NA,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","pmoA","Heartwood"
"PWY-7560",NA,NA,NA,"methylerythritol phosphate pathway II","pmoA","Heartwood"
"PWY-7616",NA,NA,NA,"methanol oxidation to carbon dioxide","pmoA","Heartwood"
"PWY-7663",NA,NA,NA,"gondoate biosynthesis (anaerobic)","pmoA","Heartwood"
"PWY-7664",NA,NA,NA,"oleate biosynthesis IV (anaerobic)","pmoA","Heartwood"
"PWY-841",NA,NA,NA,"superpathway of purine nucleotides de novo biosynthesis I","pmoA","Heartwood"
"PWY-922",NA,NA,NA,"mevalonate pathway I","pmoA","Heartwood"
"PWY0-1061",NA,NA,NA,"superpathway of L-alanine biosynthesis","pmoA","Heartwood"
"PWY0-1241",NA,NA,NA,"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis","pmoA","Heartwood"
"PWY0-1261",NA,NA,NA,"anhydromuropeptides recycling","pmoA","Heartwood"
"PWY0-1277",NA,NA,NA,"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","pmoA","Heartwood"
"PWY0-1296",NA,NA,NA,"purine ribonucleosides degradation","pmoA","Heartwood"
"PWY0-1297",NA,NA,NA,"superpathway of purine deoxyribonucleosides degradation","pmoA","Heartwood"
"PWY0-1298",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleosides degradation","pmoA","Heartwood"
"PWY0-1319",NA,NA,NA,"CDP-diacylglycerol biosynthesis II","pmoA","Heartwood"
"PWY0-1338",NA,NA,NA,"polymyxin resistance","pmoA","Heartwood"
"PWY0-1415",NA,NA,NA,"superpathway of heme biosynthesis from uroporphyrinogen-III","pmoA","Heartwood"
"PWY0-1479",NA,NA,NA,"tRNA processing","pmoA","Heartwood"
"PWY0-1533",NA,NA,NA,"methylphosphonate degradation I","pmoA","Heartwood"
"PWY0-1586",NA,NA,NA,"peptidoglycan maturation (meso-diaminopimelate containing)","pmoA","Heartwood"
"PWY0-162",NA,NA,NA,"superpathway of pyrimidine ribonucleotides de novo biosynthesis","pmoA","Heartwood"
"PWY0-166",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","pmoA","Heartwood"
"PWY0-321",NA,NA,NA,"phenylacetate degradation I (aerobic)","pmoA","Heartwood"
"PWY0-41",NA,NA,NA,"allantoin degradation IV (anaerobic)","pmoA","Heartwood"
"PWY0-42",NA,NA,NA,"2-methylcitrate cycle I","pmoA","Heartwood"
"PWY0-781",NA,NA,NA,"aspartate superpathway","pmoA","Heartwood"
"PWY0-845",NA,NA,NA,"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","pmoA","Heartwood"
"PWY0-862",NA,NA,NA,"(5Z)-dodec-5-enoate biosynthesis","pmoA","Heartwood"
"PWY1G-0",NA,NA,NA,"mycothiol biosynthesis","pmoA","Heartwood"
"PWY490-3",NA,NA,NA,"nitrate reduction VI (assimilatory)","pmoA","Heartwood"
"PWY4FS-7",NA,NA,NA,"phosphatidylglycerol biosynthesis I (plastidic)","pmoA","Heartwood"
"PWY4FS-8",NA,NA,NA,"phosphatidylglycerol biosynthesis II (non-plastidic)","pmoA","Heartwood"
"PWYG-321",NA,NA,NA,"mycolate biosynthesis","pmoA","Heartwood"
"PYRIDNUCSAL-PWY",NA,NA,NA,"NAD salvage pathway I","pmoA","Heartwood"
"PYRIDNUCSYN-PWY",NA,NA,NA,"NAD biosynthesis I (from aspartate)","pmoA","Heartwood"
"PYRIDOXSYN-PWY",NA,NA,NA,"pyridoxal 5'-phosphate biosynthesis I","pmoA","Heartwood"
"REDCITCYC",NA,NA,NA,"TCA cycle VIII (helicobacter)","pmoA","Heartwood"
"RHAMCAT-PWY",NA,NA,NA,"L-rhamnose degradation I","pmoA","Heartwood"
"RIBOSYN2-PWY",NA,NA,NA,"flavin biosynthesis I (bacteria and plants)","pmoA","Heartwood"
"RUMP-PWY",NA,NA,NA,"formaldehyde oxidation I","pmoA","Heartwood"
"SALVADEHYPOX-PWY",NA,NA,NA,"adenosine nucleotides degradation II","pmoA","Heartwood"
"SER-GLYSYN-PWY",NA,NA,NA,"superpathway of L-serine and glycine biosynthesis I","pmoA","Heartwood"
"SO4ASSIM-PWY",NA,NA,NA,"sulfate reduction I (assimilatory)","pmoA","Heartwood"
"SUCSYN-PWY",NA,NA,NA,"sucrose biosynthesis I (from photosynthesis)","pmoA","Heartwood"
"SULFATE-CYS-PWY",NA,NA,NA,"superpathway of sulfate assimilation and cysteine biosynthesis","pmoA","Heartwood"
"TCA",NA,NA,NA,"TCA cycle I (prokaryotic)","pmoA","Heartwood"
"TCA-GLYOX-BYPASS",NA,NA,NA,"superpathway of glyoxylate bypass and TCA","pmoA","Heartwood"
"TEICHOICACID-PWY",NA,NA,NA,"teichoic acid (poly-glycerol) biosynthesis","pmoA","Heartwood"
"THISYN-PWY",NA,NA,NA,"superpathway of thiamin diphosphate biosynthesis I","pmoA","Heartwood"
"THRESYN-PWY",NA,NA,NA,"superpathway of L-threonine biosynthesis","pmoA","Heartwood"
"TRNA-CHARGING-PWY",NA,NA,NA,"tRNA charging","pmoA","Heartwood"
"TRPSYN-PWY",NA,NA,NA,"L-tryptophan biosynthesis","pmoA","Heartwood"
"TYRFUMCAT-PWY",NA,NA,NA,"L-tyrosine degradation I","pmoA","Heartwood"
"UBISYN-PWY",NA,NA,NA,"superpathway of ubiquinol-8 biosynthesis (prokaryotic)","pmoA","Heartwood"
"UDPNAGSYN-PWY",NA,NA,NA,"UDP-N-acetyl-D-glucosamine biosynthesis I","pmoA","Heartwood"
"VALSYN-PWY",NA,NA,NA,"L-valine biosynthesis","pmoA","Heartwood"
"GALLATE-DEGRADATION-II-PWY",NA,NA,NA,"gallate degradation I","pmoA","Heartwood"
"PWY-1422",NA,NA,NA,"vitamin E biosynthesis (tocopherols)","pmoA","Heartwood"
"PWY-2941",NA,NA,NA,"L-lysine biosynthesis II","pmoA","Heartwood"
"PWY-5198",NA,NA,NA,"factor 420 biosynthesis","pmoA","Heartwood"
"PWY-6338",NA,NA,NA,"superpathway of vanillin and vanillate degradation","pmoA","Heartwood"
"PWY-6906",NA,NA,NA,"chitin derivatives degradation","pmoA","Heartwood"
"PWY-6992",NA,NA,NA,"1,5-anhydrofructose degradation","pmoA","Heartwood"
"PWY-7097",NA,NA,NA,"vanillin and vanillate degradation I","pmoA","Heartwood"
"PWY-7098",NA,NA,NA,"vanillin and vanillate degradation II","pmoA","Heartwood"
"PWY-722",NA,NA,NA,"nicotinate degradation I","pmoA","Heartwood"
"CENTFERM-PWY",NA,NA,NA,"pyruvate fermentation to butanoate","pmoA","Heartwood"
"CODH-PWY",NA,NA,NA,"reductive acetyl coenzyme A pathway","pmoA","Heartwood"
"METH-ACETATE-PWY",NA,NA,NA,"methanogenesis from acetate","pmoA","Heartwood"
"METHANOGENESIS-PWY",NA,NA,NA,"methanogenesis from H2 and CO2","pmoA","Heartwood"
"P162-PWY",NA,NA,NA,"L-glutamate degradation V (via hydroxyglutarate)","pmoA","Heartwood"
"P241-PWY",NA,NA,NA,"coenzyme B biosynthesis","pmoA","Heartwood"
"P341-PWY",NA,NA,NA,"glycolysis V (Pyrococcus)","pmoA","Heartwood"
"P381-PWY",NA,NA,NA,"adenosylcobalamin biosynthesis II (late cobalt incorporation)","pmoA","Heartwood"
"PWY-5177",NA,NA,NA,"glutaryl-CoA degradation","pmoA","Heartwood"
"PWY-5507",NA,NA,NA,"adenosylcobalamin biosynthesis I (early cobalt insertion)","pmoA","Heartwood"
"PWY-5532",NA,NA,NA,"adenosine nucleotides degradation IV","pmoA","Heartwood"
"PWY-5647",NA,NA,NA,"2-nitrobenzoate degradation I","pmoA","Heartwood"
"PWY-5655",NA,NA,NA,"L-tryptophan degradation IX","pmoA","Heartwood"
"PWY-5677",NA,NA,NA,"succinate fermentation to butanoate","pmoA","Heartwood"
"PWY-6107",NA,NA,NA,"chlorosalicylate degradation","pmoA","Heartwood"
"PWY-6141",NA,NA,NA,"archaetidylserine and archaetidylethanolamine biosynthesis","pmoA","Heartwood"
"PWY-6148",NA,NA,NA,"tetrahydromethanopterin biosynthesis","pmoA","Heartwood"
"PWY-6165",NA,NA,NA,"chorismate biosynthesis II (archaea)","pmoA","Heartwood"
"PWY-6167",NA,NA,NA,"flavin biosynthesis II (archaea)","pmoA","Heartwood"
"PWY-6174",NA,NA,NA,"mevalonate pathway II (archaea)","pmoA","Heartwood"
"PWY-6210",NA,NA,NA,"2-aminophenol degradation","pmoA","Heartwood"
"PWY-6349",NA,NA,NA,"CDP-archaeol biosynthesis","pmoA","Heartwood"
"PWY-6350",NA,NA,NA,"archaetidylinositol biosynthesis","pmoA","Heartwood"
"PWY-6505",NA,NA,NA,"L-tryptophan degradation XII (Geobacillus)","pmoA","Heartwood"
"PWY-6590",NA,NA,NA,"superpathway of Clostridium acetobutylicum acidogenic fermentation","pmoA","Heartwood"
"PWY-6654",NA,NA,NA,"phosphopantothenate biosynthesis III","pmoA","Heartwood"
"PWY-6749",NA,NA,NA,"CMP-legionaminate biosynthesis I","pmoA","Heartwood"
"PWY-7013",NA,NA,NA,"L-1,2-propanediol degradation","pmoA","Heartwood"
"PWY-7198",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis IV","pmoA","Heartwood"
"PWY-7210",NA,NA,NA,"pyrimidine deoxyribonucleotides biosynthesis from CTP","pmoA","Heartwood"
"PWY-7286",NA,NA,NA,"7-(3-amino-3-carboxypropyl)-wyosine biosynthesis","pmoA","Heartwood"
"PWY-7377",NA,NA,NA,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","pmoA","Heartwood"
"PWY-7391",NA,NA,NA,"isoprene biosynthesis II (engineered)","pmoA","Heartwood"
"PWY-7456",NA,NA,NA,"mannan degradation","pmoA","Heartwood"
"THREOCAT-PWY",NA,NA,NA,"superpathway of L-threonine metabolism","pmoA","Heartwood"
"VALDEG-PWY",NA,NA,NA,"L-valine degradation I","pmoA","Heartwood"
"LIPASYN-PWY",NA,NA,NA,"phospholipases","pmoA","Heartwood"
"PWY-1541",NA,NA,NA,"superpathway of taurine degradation","pmoA","Heartwood"
"PWY-2221",NA,NA,NA,"Entner-Doudoroff pathway III (semi-phosphorylative)","pmoA","Heartwood"
"PWY-5183",NA,NA,NA,"superpathway of aerobic toluene degradation","pmoA","Heartwood"
"PWY-6339",NA,NA,NA,"syringate degradation","pmoA","Heartwood"
"PWY-6404",NA,NA,NA,"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis","pmoA","Heartwood"
"PWY-6731",NA,NA,NA,"starch degradation III","pmoA","Heartwood"
"PWY-6948",NA,NA,NA,"sitosterol degradation to androstenedione","pmoA","Heartwood"
"PWY-6957",NA,NA,NA,"mandelate degradation to acetyl-CoA","pmoA","Heartwood"
"PWY-4361",NA,NA,NA,"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation","pmoA","Heartwood"
"PWY-7527",NA,NA,NA,"L-methionine salvage cycle III","pmoA","Heartwood"
"PWY-622",NA,NA,NA,"starch biosynthesis","pmoA","Heartwood"
"PWY-5265",NA,NA,NA,"peptidoglycan biosynthesis II (staphylococci)","pmoA","Heartwood"
"PWY-3941",NA,NA,NA,"&beta;-alanine biosynthesis II","pmoA","Heartwood"
"1CMET2-PWY",NA,NA,NA,"N10-formyl-tetrahydrofolate biosynthesis","mmoX","Heartwood"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",NA,NA,NA,"4-hydroxyphenylacetate degradation","mmoX","Heartwood"
"ALL-CHORISMATE-PWY",NA,NA,NA,"superpathway of chorismate metabolism","mmoX","Heartwood"
"ANAEROFRUCAT-PWY",NA,NA,NA,"homolactic fermentation","mmoX","Heartwood"
"ANAGLYCOLYSIS-PWY",NA,NA,NA,"glycolysis III (from glucose)","mmoX","Heartwood"
"ARG+POLYAMINE-SYN",NA,NA,NA,"superpathway of arginine and polyamine biosynthesis","mmoX","Heartwood"
"ARGDEG-PWY",NA,NA,NA,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","mmoX","Heartwood"
"ARGORNPROST-PWY",NA,NA,NA,"arginine, ornithine and proline interconversion","mmoX","Heartwood"
"ARGSYN-PWY",NA,NA,NA,"L-arginine biosynthesis I (via L-ornithine)","mmoX","Heartwood"
"ARGSYNBSUB-PWY",NA,NA,NA,"L-arginine biosynthesis II (acetyl cycle)","mmoX","Heartwood"
"ARO-PWY",NA,NA,NA,"chorismate biosynthesis I","mmoX","Heartwood"
"ASPASN-PWY",NA,NA,NA,"superpathway of L-aspartate and L-asparagine biosynthesis","mmoX","Heartwood"
"AST-PWY",NA,NA,NA,"L-arginine degradation II (AST pathway)","mmoX","Heartwood"
"BIOTIN-BIOSYNTHESIS-PWY",NA,NA,NA,"biotin biosynthesis I","mmoX","Heartwood"
"BRANCHED-CHAIN-AA-SYN-PWY",NA,NA,NA,"superpathway of branched amino acid biosynthesis","mmoX","Heartwood"
"CALVIN-PWY",NA,NA,NA,"Calvin-Benson-Bassham cycle","mmoX","Heartwood"
"CATECHOL-ORTHO-CLEAVAGE-PWY",NA,NA,NA,"catechol degradation to &beta;-ketoadipate","mmoX","Heartwood"
"CHLOROPHYLL-SYN",NA,NA,NA,"chlorophyllide a biosynthesis I (aerobic, light-dependent)","mmoX","Heartwood"
"COA-PWY",NA,NA,NA,"coenzyme A biosynthesis I","mmoX","Heartwood"
"COBALSYN-PWY",NA,NA,NA,"adenosylcobalamin salvage from cobinamide I","mmoX","Heartwood"
"COLANSYN-PWY",NA,NA,NA,"colanic acid building blocks biosynthesis","mmoX","Heartwood"
"COMPLETE-ARO-PWY",NA,NA,NA,"superpathway of aromatic amino acid biosynthesis","mmoX","Heartwood"
"CRNFORCAT-PWY",NA,NA,NA,"creatinine degradation I","mmoX","Heartwood"
"DAPLYSINESYN-PWY",NA,NA,NA,"L-lysine biosynthesis I","mmoX","Heartwood"
"DENITRIFICATION-PWY",NA,NA,NA,"nitrate reduction I (denitrification)","mmoX","Heartwood"
"DENOVOPURINE2-PWY",NA,NA,NA,"superpathway of purine nucleotides de novo biosynthesis II","mmoX","Heartwood"
"DHGLUCONATE-PYR-CAT-PWY",NA,NA,NA,"glucose degradation (oxidative)","mmoX","Heartwood"
"DTDPRHAMSYN-PWY",NA,NA,NA,"dTDP-L-rhamnose biosynthesis I","mmoX","Heartwood"
"ECASYN-PWY",NA,NA,NA,"enterobacterial common antigen biosynthesis","mmoX","Heartwood"
"ENTBACSYN-PWY",NA,NA,NA,"enterobactin biosynthesis","mmoX","Heartwood"
"FAO-PWY",NA,NA,NA,"fatty acid &beta;-oxidation I","mmoX","Heartwood"
"FASYN-ELONG-PWY",NA,NA,NA,"fatty acid elongation -- saturated","mmoX","Heartwood"
"FASYN-INITIAL-PWY",NA,NA,NA,"superpathway of fatty acid biosynthesis initiation (E. coli)","mmoX","Heartwood"
"FERMENTATION-PWY",NA,NA,NA,"mixed acid fermentation","mmoX","Heartwood"
"FOLSYN-PWY",NA,NA,NA,"superpathway of tetrahydrofolate biosynthesis and salvage","mmoX","Heartwood"
"FUC-RHAMCAT-PWY",NA,NA,NA,"superpathway of fucose and rhamnose degradation","mmoX","Heartwood"
"FUCCAT-PWY",NA,NA,NA,"fucose degradation","mmoX","Heartwood"
"GALACT-GLUCUROCAT-PWY",NA,NA,NA,"superpathway of hexuronide and hexuronate degradation","mmoX","Heartwood"
"GALACTARDEG-PWY",NA,NA,NA,"D-galactarate degradation I","mmoX","Heartwood"
"GALACTUROCAT-PWY",NA,NA,NA,"D-galacturonate degradation I","mmoX","Heartwood"
"GALLATE-DEGRADATION-I-PWY",NA,NA,NA,"gallate degradation II","mmoX","Heartwood"
"GLCMANNANAUT-PWY",NA,NA,NA,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","mmoX","Heartwood"
"GLUCARDEG-PWY",NA,NA,NA,"D-glucarate degradation I","mmoX","Heartwood"
"GLUCARGALACTSUPER-PWY",NA,NA,NA,"superpathway of D-glucarate and D-galactarate degradation","mmoX","Heartwood"
"GLUCONEO-PWY",NA,NA,NA,"gluconeogenesis I","mmoX","Heartwood"
"GLUCOSE1PMETAB-PWY",NA,NA,NA,"glucose and glucose-1-phosphate degradation","mmoX","Heartwood"
"GLUCUROCAT-PWY",NA,NA,NA,"superpathway of &beta;-D-glucuronide and D-glucuronate degradation","mmoX","Heartwood"
"GLUTORN-PWY",NA,NA,NA,"L-ornithine biosynthesis","mmoX","Heartwood"
"GLYCOCAT-PWY",NA,NA,NA,"glycogen degradation I (bacterial)","mmoX","Heartwood"
"GLYCOGENSYNTH-PWY",NA,NA,NA,"glycogen biosynthesis I (from ADP-D-Glucose)","mmoX","Heartwood"
"GLYCOL-GLYOXDEG-PWY",NA,NA,NA,"superpathway of glycol metabolism and degradation","mmoX","Heartwood"
"GLYCOLYSIS",NA,NA,NA,"glycolysis I (from glucose 6-phosphate)","mmoX","Heartwood"
"GLYCOLYSIS-E-D",NA,NA,NA,"superpathway of glycolysis and Entner-Doudoroff","mmoX","Heartwood"
"GLYCOLYSIS-TCA-GLYOX-BYPASS",NA,NA,NA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","mmoX","Heartwood"
"GLYOXYLATE-BYPASS",NA,NA,NA,"glyoxylate cycle","mmoX","Heartwood"
"GOLPDLCAT-PWY",NA,NA,NA,"superpathway of glycerol degradation to 1,3-propanediol","mmoX","Heartwood"
"HCAMHPDEG-PWY",NA,NA,NA,"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate","mmoX","Heartwood"
"HEME-BIOSYNTHESIS-II",NA,NA,NA,"heme biosynthesis I (aerobic)","mmoX","Heartwood"
"HEMESYN2-PWY",NA,NA,NA,"heme biosynthesis II (anaerobic)","mmoX","Heartwood"
"HEXITOLDEGSUPER-PWY",NA,NA,NA,"superpathway of hexitol degradation (bacteria)","mmoX","Heartwood"
"HISDEG-PWY",NA,NA,NA,"L-histidine degradation I","mmoX","Heartwood"
"HISTSYN-PWY",NA,NA,NA,"L-histidine biosynthesis","mmoX","Heartwood"
"HOMOSER-METSYN-PWY",NA,NA,NA,"L-methionine biosynthesis I","mmoX","Heartwood"
"HSERMETANA-PWY",NA,NA,NA,"L-methionine biosynthesis III","mmoX","Heartwood"
"ILEUSYN-PWY",NA,NA,NA,"L-isoleucine biosynthesis I (from threonine)","mmoX","Heartwood"
"KDO-NAGLIPASYN-PWY",NA,NA,NA,"superpathway of (Kdo)2-lipid A biosynthesis","mmoX","Heartwood"
"KETOGLUCONMET-PWY",NA,NA,NA,"ketogluconate metabolism","mmoX","Heartwood"
"LACTOSECAT-PWY",NA,NA,NA,"lactose and galactose degradation I","mmoX","Heartwood"
"LEU-DEG2-PWY",NA,NA,NA,"L-leucine degradation I","mmoX","Heartwood"
"LPSSYN-PWY",NA,NA,NA,"superpathway of lipopolysaccharide biosynthesis","mmoX","Heartwood"
"MET-SAM-PWY",NA,NA,NA,"superpathway of S-adenosyl-L-methionine biosynthesis","mmoX","Heartwood"
"METHGLYUT-PWY",NA,NA,NA,"superpathway of methylglyoxal degradation","mmoX","Heartwood"
"METHYLGALLATE-DEGRADATION-PWY",NA,NA,NA,"methylgallate degradation","mmoX","Heartwood"
"NAD-BIOSYNTHESIS-II",NA,NA,NA,"NAD salvage pathway II","mmoX","Heartwood"
"NADSYN-PWY",NA,NA,NA,"NAD biosynthesis II (from tryptophan)","mmoX","Heartwood"
"NAGLIPASYN-PWY",NA,NA,NA,"lipid IVA biosynthesis","mmoX","Heartwood"
"NONMEVIPP-PWY",NA,NA,NA,"methylerythritol phosphate pathway I","mmoX","Heartwood"
"NONOXIPENT-PWY",NA,NA,NA,"pentose phosphate pathway (non-oxidative branch)","mmoX","Heartwood"
"OANTIGEN-PWY",NA,NA,NA,"O-antigen building blocks biosynthesis (E. coli)","mmoX","Heartwood"
"ORNARGDEG-PWY",NA,NA,NA,"superpathway of L-arginine and L-ornithine degradation","mmoX","Heartwood"
"ORNDEG-PWY",NA,NA,NA,"superpathway of ornithine degradation","mmoX","Heartwood"
"P101-PWY",NA,NA,NA,"ectoine biosynthesis","mmoX","Heartwood"
"P105-PWY",NA,NA,NA,"TCA cycle IV (2-oxoglutarate decarboxylase)","mmoX","Heartwood"
"P108-PWY",NA,NA,NA,"pyruvate fermentation to propanoate I","mmoX","Heartwood"
"P122-PWY",NA,NA,NA,"heterolactic fermentation","mmoX","Heartwood"
"P124-PWY",NA,NA,NA,"Bifidobacterium shunt","mmoX","Heartwood"
"P125-PWY",NA,NA,NA,"superpathway of (R,R)-butanediol biosynthesis","mmoX","Heartwood"
"P161-PWY",NA,NA,NA,"acetylene degradation","mmoX","Heartwood"
"P163-PWY",NA,NA,NA,"L-lysine fermentation to acetate and butanoate","mmoX","Heartwood"
"P164-PWY",NA,NA,NA,"purine nucleobases degradation I (anaerobic)","mmoX","Heartwood"
"P184-PWY",NA,NA,NA,"protocatechuate degradation I (meta-cleavage pathway)","mmoX","Heartwood"
"P221-PWY",NA,NA,NA,"octane oxidation","mmoX","Heartwood"
"P23-PWY",NA,NA,NA,"reductive TCA cycle I","mmoX","Heartwood"
"P261-PWY",NA,NA,NA,"coenzyme M biosynthesis I","mmoX","Heartwood"
"P281-PWY",NA,NA,NA,"3-phenylpropanoate degradation","mmoX","Heartwood"
"P4-PWY",NA,NA,NA,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","mmoX","Heartwood"
"P42-PWY",NA,NA,NA,"incomplete reductive TCA cycle","mmoX","Heartwood"
"P441-PWY",NA,NA,NA,"superpathway of N-acetylneuraminate degradation","mmoX","Heartwood"
"P461-PWY",NA,NA,NA,"hexitol fermentation to lactate, formate, ethanol and acetate","mmoX","Heartwood"
"P562-PWY",NA,NA,NA,"myo-inositol degradation I","mmoX","Heartwood"
"P621-PWY",NA,NA,NA,"nylon-6 oligomer degradation","mmoX","Heartwood"
"PANTO-PWY",NA,NA,NA,"phosphopantothenate biosynthesis I","mmoX","Heartwood"
"PANTOSYN-PWY",NA,NA,NA,"pantothenate and coenzyme A biosynthesis I","mmoX","Heartwood"
"PENTOSE-P-PWY",NA,NA,NA,"pentose phosphate pathway","mmoX","Heartwood"
"PEPTIDOGLYCANSYN-PWY",NA,NA,NA,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","mmoX","Heartwood"
"PHOSLIPSYN-PWY",NA,NA,NA,"superpathway of phospholipid biosynthesis I (bacteria)","mmoX","Heartwood"
"POLYAMINSYN3-PWY",NA,NA,NA,"superpathway of polyamine biosynthesis II","mmoX","Heartwood"
"POLYAMSYN-PWY",NA,NA,NA,"superpathway of polyamine biosynthesis I","mmoX","Heartwood"
"POLYISOPRENSYN-PWY",NA,NA,NA,"polyisoprenoid biosynthesis (E. coli)","mmoX","Heartwood"
"PPGPPMET-PWY",NA,NA,NA,"ppGpp biosynthesis","mmoX","Heartwood"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",NA,NA,NA,"protocatechuate degradation II (ortho-cleavage pathway)","mmoX","Heartwood"
"PRPP-PWY",NA,NA,NA,"superpathway of histidine, purine, and pyrimidine biosynthesis","mmoX","Heartwood"
"PWY-1269",NA,NA,NA,"CMP-3-deoxy-D-manno-octulosonate biosynthesis I","mmoX","Heartwood"
"PWY-1501",NA,NA,NA,"mandelate degradation I","mmoX","Heartwood"
"PWY-1622",NA,NA,NA,"formaldehyde assimilation I (serine pathway)","mmoX","Heartwood"
"PWY-181",NA,NA,NA,"photorespiration","mmoX","Heartwood"
"PWY-1861",NA,NA,NA,"formaldehyde assimilation II (RuMP Cycle)","mmoX","Heartwood"
"PWY-1882",NA,NA,NA,"superpathway of C1 compounds oxidation to CO2","mmoX","Heartwood"
"PWY-2942",NA,NA,NA,"L-lysine biosynthesis III","mmoX","Heartwood"
"PWY-3001",NA,NA,NA,"superpathway of L-isoleucine biosynthesis I","mmoX","Heartwood"
"PWY-3661",NA,NA,NA,"glycine betaine degradation I","mmoX","Heartwood"
"PWY-3781",NA,NA,NA,"aerobic respiration I (cytochrome c)","mmoX","Heartwood"
"PWY-3801",NA,NA,NA,"sucrose degradation II (sucrose synthase)","mmoX","Heartwood"
"PWY-4984",NA,NA,NA,"urea cycle","mmoX","Heartwood"
"PWY-5005",NA,NA,NA,"biotin biosynthesis II","mmoX","Heartwood"
"PWY-5022",NA,NA,NA,"4-aminobutanoate degradation V","mmoX","Heartwood"
"PWY-5028",NA,NA,NA,"L-histidine degradation II","mmoX","Heartwood"
"PWY-5088",NA,NA,NA,"L-glutamate degradation VIII (to propanoate)","mmoX","Heartwood"
"PWY-5097",NA,NA,NA,"L-lysine biosynthesis VI","mmoX","Heartwood"
"PWY-5100",NA,NA,NA,"pyruvate fermentation to acetate and lactate II","mmoX","Heartwood"
"PWY-5101",NA,NA,NA,"L-isoleucine biosynthesis II","mmoX","Heartwood"
"PWY-5103",NA,NA,NA,"L-isoleucine biosynthesis III","mmoX","Heartwood"
"PWY-5104",NA,NA,NA,"L-isoleucine biosynthesis IV","mmoX","Heartwood"
"PWY-5121",NA,NA,NA,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","mmoX","Heartwood"
"PWY-5154",NA,NA,NA,"L-arginine biosynthesis III (via N-acetyl-L-citrulline)","mmoX","Heartwood"
"PWY-5178",NA,NA,NA,"toluene degradation IV (aerobic) (via catechol)","mmoX","Heartwood"
"PWY-5180",NA,NA,NA,"toluene degradation I (aerobic) (via o-cresol)","mmoX","Heartwood"
"PWY-5181",NA,NA,NA,"toluene degradation III (aerobic) (via p-cresol)","mmoX","Heartwood"
"PWY-5182",NA,NA,NA,"toluene degradation II (aerobic) (via 4-methylcatechol)","mmoX","Heartwood"
