section_id,quadrat,sub_quadrat,tag,stem_tag,species_code,x_m,y_m,dbh_mm,status,pom,codes,notes,secondary,latitude,longitude
NA,300,b,3409,NA,TSCA,6,79.1,9,LI,1.3,M,NA,FALSE,41.98990219,-72.13068231
NA,200,b,3410,NA,TSCA,9.5,58.3,33.9,LI,1.3,M,NA,FALSE,41.9897125,-72.13068431
NA,200,b,3411,NA,TSCA,1.9,51.1,6.4,LI,1.3,M,NA,FALSE,41.9896606,-72.13079
NA,301,b,3412,NA,TSCA,24,74.6,36.1,LI,1.3,M,NA,FALSE,41.98983422,-72.13047728
NA,301,b,3412,NA,TSCA,24,74.6,36.1,LI,1.3,M,NA,FALSE,41.98983422,-72.13047728
NA,303,a,3413,NA,TSCA,61.4,63,17.1,LI,1.3,M,NA,FALSE,41.98967308,-72.130056
NA,102,b,3414,NA,PIST,27.7,58.4,79,LI,1.3,M,NA,FALSE,41.98968497,-72.13046723
NA,201,a,3415,NA,TSCA,27.1,47.5,24.3,LI,1.3,M,NA,FALSE,41.98958937,-72.13049728
NA,201,b,3416,NA,TSCA,28,59.8,8.8,LI,1.3,M,NA,FALSE,41.9896969,-72.13046071
NA,301,b,3417,NA,TSCA,24.3,79.6,32.1,LI,1.3,M,NA,FALSE,41.98987804,-72.1304632
NA,301,b,3417,NA,TSCA,24.3,79.6,32.1,LI,1.3,M,NA,FALSE,41.98987804,-72.1304632
NA,201,a,3418,NA,TSCA,27,49,20.5,LI,1.3,M,NA,FALSE,41.98960281,-72.13049532
