Sample ID,Well,16S_per_ul,core_type,seq_id_raw,seq_id,Material
PB3Outer,D09,288,Outer,PB3,PB3,Wood
AB2Outer,D10,1122,Outer,AB2,AB2,Wood
AB6primeOuter,D11,1356,Outer,AB6prime,AB6',Wood
WA103Outer,D12,414,Outer,WA103,WA103,Wood
None,E01,NA,None,NA,NA,Wood
RM501Outer,E02,1967,Outer,RM501,RM501,Wood
SM13Outer,E03,608,Outer,SM13,SM13,Wood
SM8Outer,E04,1849,Outer,SM8,SM8,Wood
YB13Outer,E05,167,Outer,YB13,YB13,Wood
None,E06,NA,None,NA,NA,Wood
None,E07,NA,None,NA,NA,Wood
BB9Outer,E08,189,Outer,BB9,BB9,Wood
PB4Outer,E09,310,Outer,PB4,PB4,Wood
AB3Outer,E10,967,Outer,AB3,AB3,Wood
AB9Outer,E11,120,Outer,AB9,AB9,Wood
WA103starOuter,E12,9136,Outer,WA103star,WA103*,Wood
RM301AOuter,F01,767,Outer,RM301A,RM301A,Wood
RM502Outer,F02,3311,Outer,RM502,RM502,Wood
SM14Outer,F03,73,Outer,SM14,SM14,Wood
SM9Outer,F04,1532,Outer,SM9,SM9,Wood
YB14Outer,F05,1172,Outer,YB14,YB14,Wood
None,F06,NA,None,NA,NA,Wood
None,F07,NA,None,NA,NA,Wood
BBGT1Outer,F08,1350,Outer,BBGT1,BBGT1,Wood
PB5Outer,F09,216,Outer,PB5,PB5,Wood
AB3slash5Outer,F10,184,Outer,AB3slash5,AB3/5,Wood
ABT14POuter,F11,97,Outer,ABT14P,ABT14P,Wood
WA104Outer,F12,1152,Outer,WA104,WA104,Wood
RM301BOuter,G01,803,Outer,RM301B,RM301B,Wood
None,G02,NA,None,NA,NA,Wood
SM15Outer,G03,652,Outer,SM15,SM15,Wood
SM4Outer,G04,1122,Outer,SM4,SM4,Wood
YB15Outer,G05,507,Outer,YB15,YB15,Wood
None,G06,NA,None,NA,NA,Wood
None,G07,NA,None,NA,NA,Wood
BBX1Outer,G08,264,Outer,BBX1,BBX1,Wood
PB501Outer,G09,450,Outer,PB501,PB501,Wood
AB4Outer,G10,109,Outer,AB4,AB4,Wood
WA1Outer,G11,52346,Outer,WA1,WA1,Wood
WA12Outer,G12,369,Outer,WA12,WA12,Wood
RM302Outer,H01,794,Outer,RM302,RM302,Wood
RMS1Outer,H02,772,Outer,RMS1,RMS1,Wood
SM2Outer,H03,1278,Outer,SM2,SM2,Wood
CUL8ROuter,H04,2004,Outer,CUL8R,CUL8R,Wood
YB2Outer,H05,744,Outer,YB2,YB2,Wood
None,H06,NA,None,NA,NA,Wood
None,H07,NA,None,NA,NA,Wood
BBX6Outer,H08,178,Outer,BBX6,BBX6,Wood
SH1Outer,H09,2329,Outer,SH1,SH1,Wood
AB4slash6Outer,H10,898,Outer,AB4slash6,AB4/6,Wood
WA10Outer,H11,5419,Outer,WA10,WA10,Wood
WA14Outer96a,H12,271,er96a,WA14Out,WA14,Wood
WA14Outer97a,A01,28006,er97a,WA14Out,WA14,Wood
WP103Outer,A02,2880,Outer,WP103,WP103,Wood
WP6Outer,A03,1,Outer,WP6,WP6,Wood
None,A04,NA,None,NA,NA,Wood
RO101Outer,A05,1404,Outer,RO101,RO101,Wood
None,A06,NA,None,NA,NA,Wood
H103Outer,A07,8,Outer,H103,H103,Wood
H9Outer,A08,96,Outer,H9,H9,Wood
None,A09,NA,None,NA,NA,Wood
RM4Inner,A10,13231,Inner,RM4,RM4,Wood
SM11Inner,A11,15536,Inner,SM11,SM11,Wood
SM6Inner,A12,60946,Inner,SM6,SM6,Wood
WA15Outer,B01,50555,Outer,WA15,WA15,Wood
WP2Outer,B02,6417,Outer,WP2,WP2,Wood
None,B03,NA,None,NA,NA,Wood
BC1Outer,B04,2,Outer,BC1,BC1,Wood
None,B05,NA,None,NA,NA,Wood
RO7Outer,B06,13035,Outer,RO7,RO7,Wood
None,B07,NA,None,NA,NA,Wood
HX2Outer,B08,40,Outer,HX2,HX2,Wood
RM2Inner,B09,446,Inner,RM2,RM2,Wood
RM5Inner,B10,2905,Inner,RM5,RM5,Wood
SM12Inner,B11,37507,Inner,SM12,SM12,Wood
SM7Inner,B12,15558,Inner,SM7,SM7,Wood
WA5Outer,C01,21,Outer,WA5,WA5,Wood
WP3Outer,C02,1550,Outer,WP3,WP3,Wood
WP8Outer,C03,10524,Outer,WP8,WP8,Wood
BC2Outer,C04,110,Outer,BC2,BC2,Wood
RO103Outer,C05,66,Outer,RO103,RO103,Wood
RO8Outer,C06,895,Outer,RO8,RO8,Wood
H2Outer,C07,44,Outer,H2,H2,Wood
None,C08,NA,None,NA,NA,Wood
None,C09,NA,None,NA,NA,Wood
RM501Inner,C10,38919,Inner,RM501,RM501,Wood
SM13Inner,C11,2061,Inner,SM13,SM13,Wood
SM8Inner,C12,63692,Inner,SM8,SM8,Wood
WAX1Outer,D01,454877,Outer,WAX1,WAX1,Wood
WP4Outer,D02,16539,Outer,WP4,WP4,Wood
WP9Outer,D03,22,Outer,WP9,WP9,Wood
BC4Outer,D04,4,Outer,BC4,BC4,Wood
RO104Outer,D05,3200,Outer,RO104,RO104,Wood
RO9Outer,D06,305,Outer,RO9,RO9,Wood
H3Outer,D07,57,Outer,H3,H3,Wood
HX4Outer,D08,102,Outer,HX4,HX4,Wood
RM301AInner,D09,3124,Inner,RM301A,RM301A,Wood
RM502Inner,D10,11797,Inner,RM502,RM502,Wood
SM14Inner,D11,30478,Inner,SM14,SM14,Wood
SM9Inner,D12,18439,Inner,SM9,SM9,Wood
ML2Outer,E01,3828,Outer,ML2,ML2,Wood
None,E02,NA,None,NA,NA,Wood
WPBERENICEOuter,E03,5943,Outer,WPBERENICE,WPBERENICE,Wood
WO1Outer,E04,53703,Outer,WO1,WO1,Wood
RO105Outer,E05,1962,Outer,RO105,RO105,Wood
BO1Outer,E06,486,Outer,BO1,BO1,Wood
H301Outer,E07,41,Outer,H301,H301,Wood
HX5Outer,E08,131,Outer,HX5,HX5,Wood
RM301BInner,E09,846,Inner,RM301B,RM301B,Wood
None,E10,NA,None,NA,NA,Wood
SM15Inner,E11,25209,Inner,SM15,SM15,Wood
SM4Inner,E12,32238,Inner,SM4,SM4,Wood
MLGPOuter,F01,8674,Outer,MLGP,MLGP,Wood
WP402Outer,F02,12979,Outer,WP402,WP402,Wood
None,F03,NA,None,NA,NA,Wood
None,F04,NA,None,NA,NA,Wood
RO11Outer,F05,762,Outer,RO11,RO11,Wood
SA1Outer,F06,6979,Outer,SA1,SA1,Wood
H4Outer,F07,176,Outer,H4,H4,Wood
HZ1Outer,F08,26,Outer,HZ1,HZ1,Wood
RM302Inner,F09,141,Inner,RM302,RM302,Wood
UnknownACSASM1orACRURMS1,F10,46290,URMS1,UnknownACSASM1orACR,UnknownACSASM1orACR,Wood
SM2Inner,F11,18917,Inner,SM2,SM2,Wood
CUL8RInner,F12,87,Inner,CUL8R,CUL8R,Wood
WP101Outer,G01,4909,Outer,WP101,WP101,Wood
WP403Outer,G02,6495,Outer,WP403,WP403,Wood
WPX22Outer,G03,8,Outer,WPX22,WPX22,Wood
RO1Outer,G04,6584,Outer,RO1,RO1,Wood
RO13Outer,G05,326,Outer,RO13,RO13,Wood
H101Outer,G06,59,Outer,H101,H101,Wood
H5Outer,G07,84,Outer,H5,H5,Wood
RM1Inner,G08,222,Inner,RM1,RM1,Wood
RM303Inner,G09,2901,Inner,RM303,RM303,Wood
SM1Inner,G10,11,Inner,SM1,SM1,Wood
SM3Inner,G11,26289,Inner,SM3,SM3,Wood
None,G12,NA,None,NA,NA,Wood
WP102Outer,H01,6233,Outer,WP102,WP102,Wood
WP5Outer,H02,4046,Outer,WP5,WP5,Wood
WPX5Outer,H03,18,Outer,WPX5,WPX5,Wood
RO10Outer,H04,2675,Outer,RO10,RO10,Wood
RO2Outer,H05,1217,Outer,RO2,RO2,Wood
H102Outer,H06,139,Outer,H102,H102,Wood
None,H07,NA,None,NA,NA,Wood
RM10Inner,H08,51,Inner,RM10,RM10,Wood
